,Generation,color -- streamlit-generated,value -- streamlit-generated
134,134,Actual TTK,56.06
135,135,Actual TTK,55.48
136,136,Actual TTK,55.01
137,0,Target TTK,55
138,1,Target TTK,55
139,2,Target TTK,55
140,3,Target TTK,55
141,4,Target TTK,55
142,5,Target TTK,55
143,6,Target TTK,55
144,7,Target TTK,55
145,8,Target TTK,55
146,9,Target TTK,55
147,10,Target TTK,55
148,11,Target TTK,55
149,12,Target TTK,55
150,13,Target TTK,55
151,14,Target TTK,55
152,15,Target TTK,55
153,16,Target TTK,55
154,17,Target TTK,55
155,18,Target TTK,55
156,19,Target TTK,55
157,20,Target TTK,55
158,21,Target TTK,55
159,22,Target TTK,55
160,23,Target TTK,55
161,24,Target TTK,55
162,25,Target TTK,55
163,26,Target TTK,55
164,27,Target TTK,55
165,28,Target TTK,55
166,29,Target TTK,55
167,30,Target TTK,55
168,31,Target TTK,55
169,32,Target TTK,55
170,33,Target TTK,55
171,34,Target TTK,55
172,35,Target TTK,55
173,36,Target TTK,55
174,37,Target TTK,55
175,38,Target TTK,55
176,39,Target TTK,55
177,40,Target TTK,55
178,41,Target TTK,55
179,42,Target TTK,55
180,43,Target TTK,55
181,44,Target TTK,55
182,45,Target TTK,55
183,46,Target TTK,55
184,47,Target TTK,55
185,48,Target TTK,55
186,49,Target TTK,55
187,50,Target TTK,55
188,51,Target TTK,55
189,52,Target TTK,55
190,53,Target TTK,55
191,54,Target TTK,55
192,55,Target TTK,55
193,56,Target TTK,55
194,57,Target TTK,55
195,58,Target TTK,55
196,59,Target TTK,55
197,60,Target TTK,55
198,61,Target TTK,55
199,62,Target TTK,55
200,63,Target TTK,55
201,64,Target TTK,55
202,65,Target TTK,55
203,66,Target TTK,55
204,67,Target TTK,55
205,68,Target TTK,55
206,69,Target TTK,55
207,70,Target TTK,55
208,71,Target TTK,55
209,72,Target TTK,55
210,73,Target TTK,55
211,74,Target TTK,55
212,75,Target TTK,55
213,76,Target TTK,55
214,77,Target TTK,55
215,78,Target TTK,55
216,79,Target TTK,55
217,80,Target TTK,55
218,81,Target TTK,55
219,82,Target TTK,55
220,83,Target TTK,55
221,84,Target TTK,55
222,85,Target TTK,55
223,86,Target TTK,55
224,87,Target TTK,55
225,88,Target TTK,55
226,89,Target TTK,55
227,90,Target TTK,55
228,91,Target TTK,55
229,92,Target TTK,55
230,93,Target TTK,55
231,94,Target TTK,55
232,95,Target TTK,55
233,96,Target TTK,55
234,97,Target TTK,55
235,98,Target TTK,55
236,99,Target TTK,55
237,100,Target TTK,55
238,101,Target TTK,55
239,102,Target TTK,55
240,103,Target TTK,55
241,104,Target TTK,55
242,105,Target TTK,55
243,106,Target TTK,55
244,107,Target TTK,55
245,108,Target TTK,55
246,109,Target TTK,55
247,110,Target TTK,55
248,111,Target TTK,55
249,112,Target TTK,55
250,113,Target TTK,55
251,114,Target TTK,55
252,115,Target TTK,55
253,116,Target TTK,55
254,117,Target TTK,55
255,118,Target TTK,55
256,119,Target TTK,55
257,120,Target TTK,55
258,121,Target TTK,55
259,122,Target TTK,55
260,123,Target TTK,55
261,124,Target TTK,55
262,125,Target TTK,55
263,126,Target TTK,55
264,127,Target TTK,55
265,128,Target TTK,55
266,129,Target TTK,55
267,130,Target TTK,55
268,131,Target TTK,55
269,132,Target TTK,55
270,133,Target TTK,55
271,134,Target TTK,55
272,135,Target TTK,55
273,136,Target TTK,55
